排名,厂商,销量,占销量份额
1,上汽大众,1442616,7.43%
2,上汽通用五菱,1404797,7.24%
3,一汽-大众,1267887,6.53%
4,北京现代,1120047,5.77%
5,上汽通用别克,917018,4.72%
6,东风日产,837674,4.32%
7,长安福特,803686,4.14%
8,上汽通用雪佛兰,766963,3.95%
9,东风悦达起亚,646006,3.33%
10,一汽丰田,582176,3%
11,一汽-大众奥迪,513000,2.64%
12,广汽本田,475513,2.45%
13,比亚迪,437725,2.25%
14,长安汽车,433272,2.23%
15,长城汽车,429325,2.21%
16,吉利汽车,425773,2.19%
17,长安汽车,394697,2.03%
18,奇瑞汽车,388207,2%
19,广汽丰田,374108,1.93%
20,东风标致,366587,1.89%
21,东风雪铁龙,320012,1.65%
22,东风本田,308215,1.59%
23,上汽斯柯达,282390,1.45%
24,华晨宝马,279135,1.44%
25,东风风行,240899,1.24%
26,东风小康,204960,1.06%
27,江淮汽车,195570,1.01%
28,北汽昌河,185147,0.95%
29,上汽通用五菱,181586,0.94%
30,一汽奔腾,179453,0.92%
31,长安铃木,165268,0.85%
32,众泰汽车,158951,0.82%
33,力帆汽车,147847,0.76%
34,北京奔驰,145468,0.75%
35,华晨中华,141231,0.73%
36,上汽集团,127320,0.66%
37,广汽乘用车,116708,0.6%
38,东风启辰,113951,0.59%
39,东风小康,113611,0.59%
40,一汽马自达,101939,0.53%
41,昌河铃木,97964,0.5%
42,长安马自达,95123,0.49%
43,一汽海马,93746,0.48%
44,长城汽车,91658,0.47%
45,海马汽车,87124,0.45%
46,北汽幻速,84696,0.44%
47,东风乘用车,81026,0.42%
48,天津一汽,72059,0.37%
49,广汽菲克菲亚特,68090,0.35%
50,广汽三菱,63199,0.33%
51,莲花汽车,59891,0.31%
52,东南汽车,55555,0.29%
53,华泰汽车,54073,0.28%
54,上汽名爵,52715,0.27%
55,华晨鑫源,52293,0.27%
56,SWM斯威汽车,52293,0.27%
57,东风裕隆,52200,0.27%
58,BEIJING汽车,46449,0.24%
59,通用凯迪拉克,39922,0.21%
60,一汽吉林,35442,0.18%
61,郑州日产,30412,0.16%
62,北汽昌河,29819,0.15%
63,绵阳金杯,29350,0.15%
64,江铃集团新能源,27417,0.14%
65,江铃轻卡,27099,0.14%
66,郑州日产,21815,0.11%
67,猎豹汽车,18341,0.09%
68,华晨雷诺,15729,0.08%
69,广汽吉奥,15503,0.08%
70,开瑞汽车,14174,0.07%
71,福建奔驰,10884,0.06%
72,东南三菱,10056,0.05%
73,DS汽车,9626,0.05%
74,野马汽车,8703,0.04%
75,福汽新龙马,8534,0.04%
76,北京越野,7842,0.04%
77,曙光汽车,7616,0.04%
78,知豆电动车,7287,0.04%
79,福田汽车,7271,0.04%
80,一汽欧朗,6933,0.04%
81,观致汽车,6517,0.03%
82,上汽大通,5065,0.03%
83,广汽理念,4547,0.02%
84,一汽红旗,2708,0.01%
85,东风英菲尼迪,2441,0.01%
86,哈飞汽车,2044,0.01%
87,北京汽车制造厂,1419,0.01%
88,奇瑞威麟,519,-
89,陆风汽车,319,-
90,奇瑞瑞麒,241,-
91,浙江永源,50,-
